,country,edu_exp_yr,edu_mean_yr,gdp_pc,female_life,male_life
0,Australia,20.4,13.2,53831.0,85.3,81.3
1,Denmark,19.2,12.7,57545.0,82.8,77.8
2,New Zealand,19.2,12.5,43415.0,83.9,80.4
3,Norway,17.7,12.7,75428.0,84.3,80.3
4,Germany,17.1,13.2,44680.0,83.6,78.8
5,Ireland,18.6,12.3,69727.0,83.7,80.4
6,Iceland,19.0,12.2,73233.0,84.4,81.3
7,United States,16.5,13.2,59939.0,81.4,76.3
8,Netherlands,18.1,11.9,48796.0,83.8,80.4
9,United Kingdom,16.3,13.3,39532.0,83.0,79.5
10,Switzerland,16.0,13.4,80296.0,85.5,81.7
11,Canada,16.3,13.1,44841.0,84.3,80.3
12,Slovenia,17.3,12.1,23488.0,83.9,78.4
13,Lithuania,16.5,12.7,16709.0,81.2,70.1
14,Czech Republic,16.8,12.3,,81.8,76.6
15,Estonia,16.5,12.5,20170.0,,
16,Israel,16.0,12.8,42852.0,84.4,81.1
17,South Korea,16.6,12.2,29958.0,85.8,79.7
18,Sweden,16.1,12.3,54075.0,84.4,80.9
19,Poland,16.4,11.9,13871.0,82.4,74.6
20,Finland,17.0,11.2,45778.0,84.6,78.9
21,Japan,15.3,12.5,38214.0,87.5,81.3
22,Belgium,16.6,11.4,43325.0,83.8,79.1
23,France,16.3,11.6,39827.0,85.4,79.6
24,Latvia,16.0,11.7,15613.0,79.9,70.1
25,Belarus,15.7,12.0,5762.0,79.4,69.4
26,Hungary,15.6,12.0,14364.0,80.1,73.1
27,Greece,17.2,10.5,19214.0,84.5,79.6
28,Slovakia,15.0,12.2,17551.0,80.8,73.8
29,Hong Kong,15.7,11.6,46733.0,87.6,81.8
30,Austria,15.9,11.3,47261.0,83.8,79.0
31,Liechtenstein,14.6,12.4,,,
32,Spain,17.7,9.8,28175.0,86.1,80.7
33,Russian Federation,15.0,12.0,,,
34,Italy,16.3,10.9,32038.0,85.4,81.1
35,Singapore,15.4,11.6,56746.0,85.7,81.4
36,Argentina,17.3,9.8,14508.0,79.9,73.1
37,Palau,14.3,12.3,16275.0,,
38,Kazakhstan,15.0,11.7,9009.0,77.3,68.8
39,Ukraine,15.3,11.3,2521.0,76.7,67.0
40,Croatia,15.3,11.2,13200.0,81.5,75.1
41,Montenegro,15.1,11.3,7720.0,79.2,74.3
42,Georgia,13.9,12.2,3762.0,78.0,69.2
43,Cyprus,14.3,11.7,18695.0,82.9,78.7
44,Chile,16.3,9.9,15001.0,82.4,77.6
45,Luxembourg,13.9,12.0,105280.0,84.2,80.0
46,Malta,14.6,11.3,28585.0,84.1,80.5
47,Cuba,13.9,11.8,8541.0,80.6,76.7
48,Bulgaria,15.0,10.8,8197.0,78.5,71.4
49,Fiji,15.3,10.5,5768.0,69.2,65.6
50,Romania,14.7,10.8,10781.0,79.4,72.5
51,Barbados,15.3,10.5,16328.0,80.4,77.7
52,Saudi Arabia,16.1,9.6,20747.0,76.6,73.8
53,Tonga,14.3,11.1,4193.0,72.8,68.9
