,country,overall_life,female_life,male_life
0,Hong Kong,84.7,87.6,81.8
1,Japan,84.5,87.5,81.3
2,Singapore,83.7,85.7,81.4
3,Switzerland,83.6,85.5,81.7
4,Italy,83.4,85.4,81.1
5,Spain,83.4,86.1,80.7
6,Australia,83.3,85.3,81.3
7,Iceland,82.9,84.4,81.3
8,Israel,82.8,84.4,81.1
9,South Korea,82.8,85.8,79.7
10,Sweden,82.7,84.4,80.9
11,France,82.5,85.4,79.6
12,Malta,82.4,84.1,80.5
13,Canada,82.3,84.3,80.3
14,Norway,82.3,84.3,80.3
15,Luxembourg,82.1,84.2,80.0
16,Ireland,82.1,83.7,80.4
17,New Zealand,82.1,83.9,80.4
18,Netherlands,82.1,83.8,80.4
19,Greece,82.1,84.5,79.6
20,Portugal,81.9,84.7,78.8
21,Andorra,81.8,,
22,Finland,81.7,84.6,78.9
23,Belgium,81.5,83.8,79.1
24,Austria,81.4,83.8,79.0
25,Germany,81.2,83.6,78.8
26,United Kingdom,81.2,83.0,79.5
27,Slovenia,81.2,83.9,78.4
28,Cyprus,80.8,82.9,78.7
29,Denmark,80.8,82.8,77.8
30,Liechtenstein,80.5,,
31,Costa Rica,80.1,82.7,77.5
32,Chile,80.0,82.4,77.6
33,Czech Republic,79.2,81.8,76.6
34,Barbados,79.1,80.4,77.7
35,Lebanon,78.9,80.8,77.1
36,United States,78.9,81.4,76.3
37,Cuba,78.6,80.6,76.7
38,Poland,78.5,82.4,74.6
39,Panama,78.3,81.6,75.2
40,Croatia,78.3,81.5,75.1
41,United Arab Emirates,77.8,79.2,77.1
42,Uruguay,77.8,81.4,74.0
43,Oman,77.6,80.1,75.9
44,Slovakia,77.4,80.8,73.8
45,Turkey,77.4,80.3,74.4
46,Bosnia and Herzegovina,77.3,79.7,74.8
47,Bahrain,77.2,78.3,76.3
48,Colombia,77.1,79.9,74.3
49,Antigua and Barbuda,76.9,78.0,75.7
50,Thailand,76.9,80.7,73.2
51,Ecuador,76.8,79.6,74.1
52,Montenegro,76.8,79.2,74.3
53,Sri Lanka,76.8,80.1,73.4
54,Algeria,76.7,77.9,75.5
55,People's Republic of China,76.7,79.1,74.5
56,Hungary,76.7,80.1,73.1
57,Argentina,76.5,79.9,73.1
58,Iran,76.5,77.7,75.4
59,Morocco,76.5,77.7,75.2
60,Peru,76.5,79.3,73.8
61,Tunisia,76.5,78.5,74.5
62,Saint Lucia,76.1,77.4,74.7
63,Malaysia,76.0,78.2,74.1
64,Romania,75.9,79.4,72.5
65,Serbia,75.8,78.5,73.3
66,Brazil,75.7,79.4,72.0
67,Brunei,75.7,77.0,74.6
68,Lithuania,75.7,81.2,70.1
69,North Macedonia,75.7,77.7,73.7
70,Kuwait,75.4,76.5,74.7
71,Latin America and the Caribbean,75.4,78.6,72.3
72,East Asia,75.3,77.8,72.9
73,Vietnam,75.3,79.4,71.2
74,Latvia,75.2,79.9,70.1
75,Honduras,75.1,77.4,72.8
76,Mexico,75.0,77.8,72.1
77,Saudi Arabia,75.0,76.6,73.8
78,Armenia,74.9,78.4,71.2
79,Bulgaria,74.9,78.5,71.4
80,Mauritius,74.9,78.4,71.5
